Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Role_Tenure_Ratio,ManagerTenureRatio,Promotion_Tenure_Ratio,Log_TotalWorkingYears,Log_YearsAtCompany,Log_YearsSinceLastPromotion,Log_MonthlyIncome,Attrition
33,Non-Travel,722,Sales,17,Bachelors,Life Sciences,1,Very High,Male,38,High,Senior Level,Manager,High,Single,17444,20489,1,No,11,Good,Very High,80,0,10,2,Good,10,0.727,0.0,0.545,2.3978952727983707,2.3978952727983707,1.9459101490553132,9.766808353620874,No
35,Travel_Rarely,1224,Sales,7,Masters,Life Sciences,1,High,Female,55,High,Junior Level,Sales Executive,Very High,Married,5204,13586,1,Yes,11,Good,Very High,80,0,10,2,Good,10,0.727,0.818,0.0,2.3978952727983707,2.3978952727983707,0.0,8.557374981049069,No
40,Travel_Rarely,444,Sales,2,School,Marketing,1,Medium,Female,92,High,Junior Level,Sales Executive,Medium,Married,5677,4258,3,No,14,Good,High,80,1,15,4,Good,11,0.667,0.833,0.417,2.772588722239781,2.4849066497880004,1.791759469228055,8.644354337032917,No
33,Travel_Rarely,536,Sales,10,PhD,Marketing,1,Very High,Male,82,Very High,Mid Level,Sales Executive,High,Divorced,8380,21708,0,Yes,14,Good,Very High,80,2,10,3,Good,9,0.8,0.8,0.0,2.3978952727983707,2.302585092994046,0.0,9.033722518098907,No
34,Travel_Rarely,1400,Sales,9,Below School,Life Sciences,1,Medium,Female,70,High,Junior Level,Sales Executive,High,Married,5714,5829,1,No,20,Excellent,Low,80,0,6,3,Average,6,0.714,0.429,0.143,1.9459101490553132,1.9459101490553132,0.6931471805599453,8.65084957622891,No
34,Travel_Rarely,1397,R&D,1,PhD,Life Sciences,1,Medium,Male,42,High,Entry Level,Research Scientist,Very High,Married,2691,7660,1,No,12,Good,Very High,80,1,10,4,Average,10,0.818,0.727,0.727,2.3978952727983707,2.3978952727983707,2.1972245773362196,7.898039690764619,No
30,Travel_Rarely,153,R&D,8,School,Life Sciences,1,Medium,Female,73,Very High,Mid Level,Research Director,Low,Married,11416,17802,0,Yes,12,Good,High,80,3,9,4,Average,8,0.778,0.778,0.111,2.302585092994046,2.1972245773362196,0.6931471805599453,9.342858751676328,No
33,Travel_Frequently,1392,R&D,3,Masters,Life Sciences,1,Very High,Female,56,High,Entry Level,Research Scientist,High,Married,2909,23159,1,Yes,11,Good,High,80,0,8,3,Good,8,0.778,0.0,0.333,2.1972245773362196,2.1972245773362196,1.3862943611198906,7.975908360165538,No
45,Non-Travel,248,R&D,23,School,Life Sciences,1,Very High,Male,42,High,Junior Level,Laboratory Technician,Low,Married,3633,14039,1,Yes,15,Good,High,80,1,9,2,Good,9,0.8,0.8,0.0,2.302585092994046,2.302585092994046,0.0,8.198089248956116,No
37,Non-Travel,142,Sales,9,Masters,Medical,1,Low,Male,69,High,Mid Level,Sales Executive,Medium,Divorced,8834,24666,1,No,13,Good,Very High,80,1,9,6,Good,9,0.5,0.7,0.7,2.302585092994046,2.302585092994046,2.0794415416798357,9.086476384753796,No
31,Travel_Rarely,691,Sales,7,Bachelors,Marketing,1,Very High,Male,73,High,Junior Level,Sales Executive,Very High,Divorced,7547,7143,4,No,12,Good,Very High,80,3,13,3,Good,7,0.875,0.875,0.125,2.639057329615259,2.0794415416798357,0.6931471805599453,8.92903790648844,No
32,Travel_Frequently,1005,R&D,2,School,Life Sciences,1,Very High,Male,79,High,Entry Level,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Good,High,80,0,8,2,Average,7,0.875,0.75,0.375,2.1972245773362196,2.0794415416798357,1.3862943611198906,8.029107054619736,No
28,Travel_Rarely,640,R&D,1,Bachelors,Technical Degree,1,Very High,Male,84,High,Entry Level,Research Scientist,Low,Single,2080,4732,2,No,11,Good,Medium,80,0,5,2,Average,3,0.5,0.5,0.25,1.791759469228055,1.3862943611198906,0.6931471805599453,7.640603826393634,No
26,Travel_Rarely,683,R&D,2,Below School,Medical,1,Low,Male,36,Medium,Entry Level,Research Scientist,Very High,Single,3904,4050,0,No,12,Good,Very High,80,0,5,2,Good,4,0.6,0.2,0.2,1.791759469228055,1.6094379124341003,0.6931471805599453,8.270013062273787,No
30,Travel_Rarely,138,R&D,22,Bachelors,Life Sciences,1,Low,Female,48,High,Entry Level,Research Scientist,High,Married,2132,11539,4,Yes,11,Good,Medium,80,0,7,2,Good,5,0.333,0.167,0.0,2.0794415416798357,1.791759469228055,0.0,7.665284718471351,Yes
33,Travel_Frequently,1141,Sales,1,Bachelors,Life Sciences,1,High,Female,42,Very High,Junior Level,Sales Executive,Low,Married,5376,3193,2,No,19,Good,Low,80,2,10,3,Good,5,0.5,0.5,0.167,2.3978952727983707,1.791759469228055,0.6931471805599453,8.589885876809678,No
38,Travel_Rarely,168,R&D,1,Bachelors,Life Sciences,1,High,Female,81,High,Mid Level,Manufacturing Director,High,Single,7861,15397,4,Yes,14,Good,Very High,80,0,10,4,Excellent,1,0.0,0.0,0.0,2.3978952727983707,0.6931471805599453,0.0,8.969796305981806,No
41,Travel_Rarely,1411,R&D,19,School,Life Sciences,1,High,Male,36,High,Junior Level,Research Scientist,Low,Divorced,3072,19877,2,No,16,Good,Low,80,2,17,2,Average,1,0.0,0.0,0.0,2.8903717578961645,0.6931471805599453,0.0,8.030409562130485,No
51,Travel_Frequently,1150,R&D,8,Masters,Life Sciences,1,Low,Male,53,Low,Mid Level,Manufacturing Director,Very High,Single,10650,25150,2,No,15,Good,Very High,80,0,18,2,Good,4,0.4,0.6,0.0,2.9444389791664403,1.6094379124341003,0.0,9.273409063443166,Yes
38,Travel_Frequently,471,R&D,12,Bachelors,Life Sciences,1,Low,Male,45,Medium,Junior Level,Healthcare Representative,Low,Divorced,6288,4284,2,No,15,Good,High,80,1,13,3,Average,4,0.6,0.4,0.2,2.639057329615259,1.6094379124341003,0.6931471805599453,8.746557354543503,No
27,Travel_Rarely,728,Sales,23,Below School,Medical,1,Medium,Female,36,Medium,Junior Level,Sales Representative,High,Married,3540,7018,1,No,21,Excellent,Very High,80,1,9,5,Good,9,0.8,0.8,0.5,2.302585092994046,2.302585092994046,1.791759469228055,8.172164452111904,No
53,Travel_Rarely,102,R&D,23,Masters,Life Sciences,1,Very High,Female,72,High,Senior Level,Research Director,Very High,Single,14275,20206,6,No,18,Good,High,80,0,33,0,Good,12,0.692,0.615,0.231,3.5263605246161616,2.5649493574615367,1.3862943611198906,9.566335084610051,No
30,Travel_Rarely,1358,Sales,16,Below School,Life Sciences,1,Very High,Male,96,High,Junior Level,Sales Executive,High,Married,5301,2939,8,No,15,Good,High,80,2,4,2,Average,2,0.333,0.667,0.667,1.6094379124341003,1.0986122886681096,1.0986122886681096,8.57583938684897,No
30,Travel_Rarely,945,Sales,9,Bachelors,Medical,1,Medium,Male,89,High,Entry Level,Sales Representative,Very High,Single,1081,16019,1,No,13,Good,High,80,0,1,3,Average,1,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,6.9865664594064265,Yes
30,Travel_Rarely,921,R&D,1,Bachelors,Life Sciences,1,Very High,Male,38,Low,Entry Level,Laboratory Technician,High,Married,3833,24375,3,No,21,Excellent,High,80,2,7,2,Good,2,0.667,0.667,0.0,2.0794415416798357,1.0986122886681096,0.0,8.251663923605589,No
58,Travel_Rarely,1055,R&D,1,Bachelors,Medical,1,Very High,Female,76,High,Executive Level,Research Director,Low,Married,19701,22456,3,Yes,21,Excellent,High,80,1,32,3,Good,9,0.8,0.5,0.1,3.4965075614664802,2.302585092994046,0.6931471805599453,9.888475432415625,No
34,Travel_Rarely,216,Sales,1,Masters,Marketing,1,Medium,Male,75,Very High,Junior Level,Sales Executive,Very High,Divorced,9725,12278,0,No,11,Good,Very High,80,1,16,2,Average,15,0.062,0.562,0.0,2.833213344056216,2.772588722239781,0.0,9.182557990963732,No
26,Travel_Frequently,1096,R&D,6,Bachelors,Other,1,High,Male,61,Very High,Entry Level,Laboratory Technician,Very High,Married,2544,7102,0,No,18,Good,Low,80,1,8,3,Good,7,0.875,0.875,0.875,2.1972245773362196,2.0794415416798357,2.0794415416798357,7.841885928984623,No
51,Travel_Rarely,1178,Sales,14,School,Life Sciences,1,High,Female,87,High,Junior Level,Sales Executive,Very High,Married,4936,14862,4,No,11,Good,High,80,1,18,2,Average,7,0.875,0.875,0.0,2.9444389791664403,2.0794415416798357,0.0,8.504513138258863,No
39,Travel_Rarely,117,R&D,10,Below School,Medical,1,High,Male,99,High,Senior Level,Manager,Low,Married,17068,5355,1,Yes,14,Good,Very High,80,0,21,3,Good,21,0.409,0.455,0.5,3.091042453358316,3.091042453358316,2.4849066497880004,9.745019231764333,No
36,Non-Travel,635,Sales,10,Masters,Medical,1,Medium,Male,32,High,Mid Level,Sales Executive,Very High,Single,9980,15318,1,No,14,Good,Very High,80,0,10,3,Average,10,0.273,0.636,0.818,2.3978952727983707,2.3978952727983707,2.302585092994046,9.208438564686587,No
32,Travel_Rarely,588,Sales,8,School,Technical Degree,1,High,Female,65,Medium,Junior Level,Sales Executive,Medium,Married,5228,24624,1,Yes,11,Good,Very High,80,0,13,2,Good,13,0.857,0.643,0.786,2.639057329615259,2.639057329615259,2.4849066497880004,8.56197533418813,No
56,Travel_Frequently,1240,R&D,9,Bachelors,Medical,1,Low,Female,63,High,Entry Level,Research Scientist,High,Married,2942,12154,2,No,19,Good,Medium,80,1,18,4,Good,5,0.667,0.5,0.0,2.9444389791664403,1.791759469228055,0.0,7.987184748233473,No
57,Travel_Rarely,405,R&D,1,School,Life Sciences,1,Medium,Male,93,Very High,Junior Level,Research Scientist,High,Married,4900,2721,0,No,24,Excellent,Low,80,1,13,2,Average,12,0.692,0.615,0.154,2.639057329615259,2.5649493574615367,1.0986122886681096,8.497194544909547,No
57,Travel_Rarely,210,Sales,29,Bachelors,Marketing,1,Low,Male,56,Medium,Senior Level,Manager,Very High,Divorced,14118,22102,3,No,12,Good,High,80,1,32,3,Average,1,0.0,0.0,0.0,3.4965075614664802,0.6931471805599453,0.0,9.555276687009526,No
40,Travel_Rarely,804,R&D,2,Below School,Medical,1,Very High,Female,86,Medium,Entry Level,Research Scientist,Very High,Single,2342,22929,0,Yes,20,Excellent,Very High,80,0,5,2,Average,4,0.4,0.6,0.4,1.791759469228055,1.6094379124341003,1.0986122886681096,7.759187438507795,No
23,Travel_Frequently,638,Sales,9,Bachelors,Marketing,1,Very High,Male,33,High,Entry Level,Sales Representative,Low,Married,1790,26956,1,No,19,Good,Low,80,1,1,3,Average,1,0.0,0.0,0.5,0.6931471805599453,0.6931471805599453,0.6931471805599453,7.490529402060711,Yes
53,Travel_Rarely,1395,R&D,24,Masters,Medical,1,Medium,Male,48,Very High,Mid Level,Healthcare Representative,Very High,Married,7005,3458,3,No,15,Good,High,80,0,11,2,Good,4,0.6,0.4,0.2,2.4849066497880004,1.6094379124341003,0.6931471805599453,8.854522203757432,No
38,Travel_Frequently,148,R&D,2,Bachelors,Medical,1,Very High,Female,42,Medium,Entry Level,Laboratory Technician,Medium,Single,2440,23826,1,No,22,Excellent,Medium,80,0,4,3,Good,4,0.6,0.6,0.6,1.6094379124341003,1.6094379124341003,1.3862943611198906,7.80016307039296,No
36,Travel_Rarely,1041,HR,13,Bachelors,Human Resources,1,High,Male,36,High,Entry Level,Human Resources,Medium,Married,2143,25527,4,No,13,Good,Medium,80,1,8,2,Good,5,0.333,0.667,0.0,2.1972245773362196,1.791759469228055,0.0,7.670428522190693,No
29,Travel_Frequently,1413,Sales,1,Below School,Medical,1,Medium,Female,42,High,Mid Level,Sales Executive,Very High,Married,7918,6599,1,No,14,Good,Very High,80,1,11,5,Good,11,0.833,0.083,0.333,2.4849066497880004,2.4849066497880004,1.6094379124341003,8.977020214210413,No
38,Travel_Rarely,201,R&D,10,Bachelors,Medical,1,Medium,Female,99,Low,Mid Level,Research Director,High,Married,13206,3376,3,No,12,Good,Low,80,1,20,3,Good,18,0.842,0.579,0.053,3.044522437723423,2.9444389791664403,0.6931471805599453,9.488502271043805,No
47,Travel_Rarely,1180,R&D,25,Bachelors,Medical,1,Low,Male,84,High,Mid Level,Healthcare Representative,High,Single,8633,13084,2,No,23,Excellent,Medium,80,0,25,3,Good,17,0.778,0.611,0.667,3.258096538021482,2.8903717578961645,2.5649493574615367,9.063463176115423,No
32,Travel_Rarely,1089,R&D,7,School,Life Sciences,1,Very High,Male,79,High,Junior Level,Laboratory Technician,High,Married,4883,22845,1,No,18,Good,Low,80,1,10,3,Good,10,0.364,0.091,0.091,2.3978952727983707,2.3978952727983707,0.6931471805599453,8.493719835230594,Yes
35,Travel_Rarely,819,R&D,18,PhD,Life Sciences,1,Medium,Male,48,Very High,Junior Level,Research Scientist,Low,Married,5208,26312,1,No,11,Good,Very High,80,0,16,2,Good,16,0.882,0.588,0.059,2.833213344056216,2.833213344056216,0.6931471805599453,8.558143177745192,No
36,Travel_Frequently,1195,R&D,11,Bachelors,Life Sciences,1,Medium,Male,95,Medium,Junior Level,Manufacturing Director,Medium,Single,6499,22656,1,No,13,Good,High,80,0,6,3,Good,6,0.714,0.429,0.0,1.9459101490553132,1.9459101490553132,0.0,8.779557455883728,No
49,Travel_Frequently,1475,R&D,28,School,Life Sciences,1,Low,Male,97,Medium,Junior Level,Laboratory Technician,Low,Single,4284,22710,3,No,20,Excellent,Low,80,0,20,2,Good,4,0.6,0.6,0.2,3.044522437723423,1.6094379124341003,0.6931471805599453,8.36287583103188,Yes
34,Travel_Rarely,121,R&D,2,Masters,Medical,1,High,Female,86,Medium,Entry Level,Research Scientist,Low,Single,4381,7530,1,No,11,Good,High,80,0,6,3,Good,6,0.714,0.429,0.143,1.9459101490553132,1.9459101490553132,0.6931471805599453,8.385260520155413,No
39,Travel_Rarely,524,R&D,18,School,Life Sciences,1,Low,Male,32,High,Junior Level,Manufacturing Director,High,Single,4534,13352,0,No,11,Good,Low,80,0,9,6,Good,8,0.778,0.778,0.111,2.302585092994046,2.1972245773362196,0.6931471805599453,8.419580362549237,No
30,Non-Travel,829,R&D,1,Below School,Life Sciences,1,High,Male,88,Medium,Mid Level,Manufacturing Director,High,Single,8474,20925,1,No,22,Excellent,High,80,0,12,2,Good,11,0.667,0.667,0.417,2.5649493574615367,2.4849066497880004,1.791759469228055,9.044875932248651,No
51,Travel_Frequently,541,Sales,2,Bachelors,Marketing,1,Medium,Male,52,High,Mid Level,Sales Executive,Medium,Married,10596,15395,2,No,11,Good,Medium,80,0,14,5,Good,4,0.4,0.4,0.6,2.70805020110221,1.6094379124341003,1.3862943611198906,9.268326221174837,No
35,Travel_Rarely,735,R&D,6,Below School,Life Sciences,1,High,Male,66,High,Entry Level,Research Scientist,High,Married,3506,6020,0,Yes,14,Good,Very High,80,0,4,3,Good,3,0.5,0.5,0.5,1.6094379124341003,1.3862943611198906,1.0986122886681096,8.162516250140179,No
60,Travel_Rarely,1179,Sales,16,Masters,Marketing,1,Low,Male,84,High,Junior Level,Sales Executive,Low,Single,5405,11924,8,No,14,Good,Very High,80,0,10,1,Good,2,0.667,0.667,0.667,2.3978952727983707,1.0986122886681096,1.0986122886681096,8.595264726836392,No
50,Travel_Frequently,878,Sales,1,Masters,Life Sciences,1,Medium,Male,94,High,Junior Level,Sales Executive,High,Divorced,6728,14255,7,No,12,Good,Very High,80,2,12,3,Good,6,0.429,0.143,0.0,2.5649493574615367,1.9459101490553132,0.0,8.814181823188317,Yes
45,Travel_Rarely,950,R&D,28,Bachelors,Technical Degree,1,Very High,Male,97,High,Entry Level,Research Scientist,Very High,Married,2132,4585,4,No,20,Excellent,Very High,80,1,8,3,Good,5,0.667,0.5,0.0,2.1972245773362196,1.791759469228055,0.0,7.665284718471351,No
56,Travel_Rarely,1400,R&D,7,Bachelors,Life Sciences,1,Very High,Male,49,Low,Mid Level,Manufacturing Director,Very High,Single,7260,21698,4,No,11,Good,Low,80,0,37,3,Average,6,0.571,0.286,0.0,3.6375861597263857,1.9459101490553132,0.0,8.890272839380247,No
46,Travel_Rarely,706,R&D,2,School,Life Sciences,1,Very High,Male,82,High,Mid Level,Manufacturing Director,Very High,Divorced,8578,19989,3,No,14,Good,High,80,1,12,4,Average,9,0.8,0.7,0.4,2.5649493574615367,2.302585092994046,1.6094379124341003,9.057072635572965,No
42,Travel_Rarely,855,R&D,12,Bachelors,Medical,1,Medium,Male,57,High,Entry Level,Laboratory Technician,Medium,Divorced,2766,8952,8,No,22,Excellent,Medium,80,3,7,6,Average,5,0.5,0.667,0.0,2.0794415416798357,1.791759469228055,0.0,7.925518979786926,No
60,Travel_Rarely,370,R&D,1,Masters,Medical,1,High,Male,92,Low,Mid Level,Healthcare Representative,Very High,Divorced,10883,20467,3,No,20,Excellent,High,80,1,19,2,Excellent,1,0.0,0.0,0.0,2.995732273553991,0.6931471805599453,0.0,9.295049099903137,No
25,Travel_Rarely,141,Sales,3,Below School,Other,1,High,Male,98,High,Junior Level,Sales Executive,Low,Married,4194,14363,1,Yes,18,Good,Very High,80,0,5,3,Good,5,0.5,0.5,0.0,1.791759469228055,1.791759469228055,0.0,8.341648618901306,No
28,Non-Travel,280,HR,1,School,Life Sciences,1,High,Male,43,High,Entry Level,Human Resources,Very High,Divorced,2706,10494,1,No,15,Good,Medium,80,1,3,2,Good,3,0.5,0.5,0.5,1.3862943611198906,1.3862943611198906,1.0986122886681096,7.903596289614301,No
53,Travel_Rarely,607,R&D,2,PhD,Technical Degree,1,High,Female,78,Medium,Mid Level,Manufacturing Director,Very High,Married,10169,14618,0,No,16,Good,Medium,80,1,34,4,Good,33,0.206,0.265,0.029,3.5553480614894135,3.5263605246161616,0.6931471805599453,9.227197489042606,Yes
39,Travel_Rarely,867,R&D,9,School,Medical,1,Low,Male,87,High,Junior Level,Manufacturing Director,Low,Married,5151,12315,1,No,25,Excellent,Very High,80,1,10,3,Good,10,0.0,0.818,0.636,2.3978952727983707,2.3978952727983707,2.0794415416798357,8.54714026778419,No
48,Travel_Rarely,1224,R&D,10,Bachelors,Life Sciences,1,Very High,Male,91,Medium,Executive Level,Research Director,Medium,Married,19665,13583,4,No,12,Good,Very High,80,0,29,3,Good,22,0.435,0.391,0.522,3.4011973816621555,3.1354942159291497,2.5649493574615367,9.886646535340102,No
37,Travel_Rarely,228,Sales,6,Masters,Medical,1,High,Male,98,High,Junior Level,Sales Executive,Very High,Married,6502,22825,4,No,14,Good,Medium,80,1,7,5,Excellent,5,0.667,0.167,0.0,2.0794415416798357,1.791759469228055,0.0,8.780018887869153,No
41,Travel_Frequently,1200,R&D,22,Bachelors,Life Sciences,1,Very High,Female,75,High,Junior Level,Research Scientist,Very High,Divorced,5467,13953,3,Yes,14,Good,Low,80,2,12,4,Average,6,0.286,0.429,0.429,2.5649493574615367,1.9459101490553132,1.3862943611198906,8.60666819784384,No
21,Non-Travel,895,Sales,9,School,Medical,1,Low,Male,39,High,Entry Level,Sales Representative,Very High,Single,2610,2851,1,No,24,Excellent,High,80,0,3,3,Average,3,0.5,0.5,0.5,1.3862943611198906,1.3862943611198906,1.0986122886681096,7.8674885686991285,No
32,Travel_Rarely,117,Sales,13,Masters,Life Sciences,1,Medium,Male,73,High,Junior Level,Sales Executive,Very High,Divorced,4403,9250,2,No,11,Good,High,80,1,8,3,Average,5,0.333,0.5,0.0,2.1972245773362196,1.791759469228055,0.0,8.390268497842571,No
37,Travel_Rarely,1373,R&D,2,School,Other,1,Very High,Male,92,Medium,Entry Level,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Good,Medium,80,0,7,3,Good,0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,7.645397699428633,Yes
59,Travel_Rarely,1324,R&D,3,Bachelors,Medical,1,High,Female,81,Very High,Entry Level,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Excellent,Low,80,3,12,3,Average,1,0.0,0.0,0.0,2.5649493574615367,0.6931471805599453,0.0,7.890208213109961,No
45,Travel_Frequently,1249,R&D,7,Bachelors,Life Sciences,1,Low,Male,97,High,Mid Level,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,Good,Low,80,1,24,2,Good,24,0.36,0.44,0.36,3.2188758248682006,3.2188758248682006,2.302585092994046,8.558527054909215,No
35,Travel_Frequently,130,R&D,25,Masters,Life Sciences,1,Very High,Female,96,High,Entry Level,Research Scientist,Medium,Divorced,2022,16612,1,Yes,19,Good,Low,80,1,10,3,Average,10,0.182,0.727,0.636,2.3978952727983707,2.3978952727983707,2.0794415416798357,7.612336837167746,Yes
36,Travel_Frequently,469,R&D,3,Bachelors,Technical Degree,1,High,Male,46,High,Entry Level,Research Scientist,Medium,Married,3692,9256,1,No,12,Good,High,80,0,12,2,Average,11,0.833,0.583,0.0,2.5649493574615367,2.4849066497880004,0.0,8.214194414852564,No
41,Travel_Rarely,930,Sales,3,Bachelors,Life Sciences,1,High,Male,57,Medium,Junior Level,Sales Executive,Medium,Divorced,8938,12227,2,No,11,Good,High,80,1,14,5,Good,5,0.667,0.667,0.0,2.70805020110221,1.791759469228055,0.0,9.098179005087852,No
41,Travel_Rarely,896,Sales,6,Bachelors,Life Sciences,1,Very High,Female,75,High,Mid Level,Manager,Very High,Single,13591,14674,3,Yes,18,Good,High,80,0,16,3,Good,1,0.0,0.0,0.0,2.833213344056216,0.6931471805599453,0.0,9.517236663351769,No
42,Travel_Rarely,603,R&D,7,Masters,Medical,1,Medium,Female,78,Very High,Junior Level,Research Scientist,Medium,Married,2372,5628,6,Yes,16,Good,Very High,80,0,18,2,Good,1,0.0,0.0,0.0,2.9444389791664403,0.6931471805599453,0.0,7.771910256435763,No
42,Travel_Rarely,691,Sales,8,Masters,Marketing,1,High,Male,48,High,Junior Level,Sales Executive,Medium,Married,6825,21173,0,No,11,Good,Very High,80,1,10,2,Good,9,0.7,0.2,0.4,2.3978952727983707,2.302585092994046,1.6094379124341003,8.828494129466652,No
24,Non-Travel,830,Sales,13,School,Life Sciences,1,Very High,Female,78,High,Entry Level,Sales Representative,Medium,Married,2033,7103,1,No,13,Good,High,80,1,1,2,Good,1,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,7.617759576608505,No
33,Travel_Rarely,603,Sales,9,Masters,Marketing,1,Low,Female,77,High,Junior Level,Sales Executive,Low,Single,8224,18385,0,Yes,17,Good,Low,80,0,6,3,Good,5,0.333,0.5,0.0,1.9459101490553132,1.791759469228055,0.0,9.014933575633572,Yes
43,Travel_Frequently,422,R&D,1,Bachelors,Life Sciences,1,Very High,Female,33,High,Junior Level,Healthcare Representative,Very High,Married,5562,21782,4,No,13,Good,Medium,80,1,12,2,Average,5,0.333,0.333,0.333,2.5649493574615367,1.791759469228055,1.0986122886681096,8.623892810075294,No
25,Travel_Rarely,583,Sales,4,Below School,Marketing,1,High,Male,87,Medium,Junior Level,Sales Executive,Low,Married,4256,18154,1,No,12,Good,Low,80,0,5,1,Excellent,5,0.333,0.5,0.0,1.791759469228055,1.791759469228055,0.0,8.356319965828153,No
38,Travel_Frequently,1391,R&D,10,Below School,Medical,1,High,Male,66,High,Entry Level,Research Scientist,High,Married,2684,12127,0,No,17,Good,Medium,80,1,3,0,Average,2,0.333,0.667,0.0,1.3862943611198906,1.0986122886681096,0.0,7.895436006942965,No
33,Travel_Rarely,516,R&D,8,PhD,Life Sciences,1,Very High,Male,69,High,Junior Level,Healthcare Representative,High,Single,6388,22049,2,Yes,17,Good,Low,80,0,14,6,Good,0,0.0,0.0,0.0,2.70805020110221,0.0,0.0,8.762333040602343,No
53,Travel_Rarely,661,Sales,7,School,Marketing,1,Low,Female,78,Medium,Mid Level,Sales Executive,Very High,Married,10934,20715,7,Yes,18,Good,Very High,80,1,35,3,Good,5,0.333,0.667,0.0,3.58351893845611,1.791759469228055,0.0,9.299723933110869,No
43,Travel_Frequently,1082,R&D,27,Bachelors,Life Sciences,1,High,Female,83,High,Mid Level,Manufacturing Director,Low,Married,10820,11535,8,No,11,Good,High,80,1,18,1,Good,8,0.778,0.111,0.0,2.9444389791664403,2.1972245773362196,0.0,9.289243969571649,No
42,Travel_Rarely,269,R&D,2,Bachelors,Medical,1,Very High,Female,56,Medium,Entry Level,Laboratory Technician,Low,Divorced,2593,8007,0,Yes,11,Good,High,80,1,10,4,Good,9,0.6,0.8,0.7,2.3978952727983707,2.302585092994046,2.0794415416798357,7.860956364876389,No
53,Travel_Rarely,1282,R&D,5,Bachelors,Other,1,High,Female,58,High,Executive Level,Manager,High,Divorced,19094,10735,4,No,11,Good,Very High,80,1,26,3,Average,14,0.867,0.533,0.267,3.295836866004329,2.70805020110221,1.6094379124341003,9.857181799659617,No
29,Travel_Rarely,318,R&D,8,Masters,Other,1,Medium,Male,77,Low,Entry Level,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,Good,Very High,80,0,7,4,Average,7,0.875,0.875,0.0,2.0794415416798357,2.0794415416798357,0.0,7.659171367666058,Yes
29,Travel_Rarely,657,R&D,27,Bachelors,Medical,1,Medium,Female,66,High,Junior Level,Healthcare Representative,High,Married,4335,25549,4,No,12,Good,Low,80,1,11,3,Average,8,0.778,0.111,0.111,2.4849066497880004,2.1972245773362196,0.6931471805599453,8.374707543119483,No
37,Travel_Rarely,408,R&D,19,School,Life Sciences,1,Medium,Male,73,High,Entry Level,Research Scientist,Medium,Married,3022,10227,4,No,21,Excellent,Low,80,0,8,1,Good,1,0.0,0.0,0.0,2.1972245773362196,0.6931471805599453,0.0,8.014004994779459,No
50,Travel_Frequently,1115,R&D,1,Bachelors,Life Sciences,1,Low,Female,73,High,Executive Level,Research Director,Medium,Married,18172,9755,3,Yes,19,Good,Low,80,0,28,1,Average,8,0.333,0.778,0.0,3.367295829986474,2.1972245773362196,0.0,9.80769225508126,No
29,Non-Travel,746,Sales,2,Bachelors,Life Sciences,1,Very High,Male,61,High,Junior Level,Sales Executive,High,Married,4649,16928,1,No,14,Good,Low,80,1,4,3,Average,4,0.6,0.4,0.0,1.6094379124341003,1.6094379124341003,0.0,8.444622498581403,No
33,Travel_Frequently,515,R&D,1,School,Life Sciences,1,Low,Female,98,High,Mid Level,Research Director,Very High,Single,13458,15146,1,Yes,12,Good,High,80,0,15,1,Good,15,0.875,0.75,0.5,2.772588722239781,2.772588722239781,2.1972245773362196,9.507403306233716,No
55,Non-Travel,444,R&D,2,Below School,Medical,1,High,Male,40,Medium,Senior Level,Manager,Low,Single,16756,17323,7,No,15,Good,Medium,80,0,31,3,Excellent,9,0.7,0.2,0.6,3.4657359027997265,2.302585092994046,1.9459101490553132,9.726571360400724,No
51,Travel_Rarely,1469,R&D,8,Masters,Life Sciences,1,Medium,Male,81,Medium,Mid Level,Research Director,Medium,Married,12490,15736,5,No,16,Good,Very High,80,2,16,5,Poor,10,0.818,0.636,0.364,2.833213344056216,2.3978952727983707,1.6094379124341003,9.43276366396591,No
30,Travel_Frequently,1312,R&D,23,Bachelors,Life Sciences,1,Low,Male,96,Low,Entry Level,Research Scientist,High,Divorced,2613,22310,1,No,25,Excellent,High,80,3,10,2,Average,10,0.636,0.818,0.0,2.3978952727983707,2.3978952727983707,0.0,7.868636894184167,No
49,Travel_Rarely,1098,R&D,4,School,Medical,1,Low,Male,85,Medium,Executive Level,Manager,High,Married,18711,12124,2,No,13,Good,High,80,1,23,2,Excellent,1,0.0,0.0,0.0,3.1780538303479458,0.6931471805599453,0.0,9.836920308264014,No
